,Survey,Clean_Text,Label_prediksi
0,Dipertahankan,tahan,positif
1,Tidak ada udah sangat bagus,bagus,positif
2,Tetap semangat dan sabar dalam menyampaikan materi kepada siswa. semangat saya semangat juga bapak,semangat sabar materi siswa semangat semangat,positif
3,untuk praktikum berikutnya diperbanyak menggunakan alat,praktikum banyak alat,negatif
4,Semoga kedepannya bisa lebih menjadi lebih baik dalam pembelajaran.,moga depan ajar,positif
5,"sudah cukup baik dalam mengajar, saat memberikan materi Siswa mudah memahami",ajar materi siswa mudah paham,positif
6,sudah sangat bagus dalam mengajar meskipun kadang terlalu cepat dalam penyampaian materi,bagus ajar kadang cepat sampai materi,negatif
7,menurut saya pak kalau menjelaskan materi jangan terlalu cepat,materi cepat,negatif
8,Saat menjelaskan agar tidak terlalu cepat,cepat,negatif
9,Materi yang disampaikan cukup dapat dimengerti. dan guru pengampunya ramah dengan Siswa,materi erti guru ampu ramah siswa,negatif
10,Sudah baik mungkin perlu untuk memperjelas lagi dalam menyampaikan case atau contoh yang terjadi. untuk yang lainnya sudah baik bisa di pertahankan,jelas contoh tahan,positif
11,seharusnya bisa offline,offline,negatif
12,Dikurangi mengkritiknya,rang kritik,positif
13,Bu lain kali kalau menyampaikan materi jangan baca PPT bu karena kami sebagai Siswa juga bosan lamalama karena guru hanya baca ppt saja tanpa improvisasi.,bu materi baca powerpoint bu siswa bosan lamalama guru baca powerpoint improvisasi,negatif
14,baik terus tingkatkan,tingkat,positif
15,"Saran dari saya, Ibu Guru dapat menggunakan sistem pembelajaran yang baru dan efisien",saran guru sistem ajar efisien,positif
16,"Cara penyampain sudah baik, tetapi terkadang agak cepat dalam menjelaskan materi",penyampain terkadang cepat materi,negatif
17,"Tidak ada, Selama Pelajaran Sistem Operasi selalu lancar",ajar sistem operasi lancar,positif
18,penjelasannya sangat jelas,jelas,positif
19,"Lebih ditingkatkan lagi dari segi pengajaran dan pembelajaran, terima kasih.",tingkat segi ajar ajar terima kasih,positif
20,"Untuk sebelum pemberian tugas besar pengganti UAS lebih baik dikasih materi terlebih dahulu ,agar waktu pengerjaan tugas besar tidak bingung",beri tugas ganti uji akhir semester kasih materi waktu kerja tugas bingung,negatif
21,Sudah cukup baik semoga lebih baik,moga,positif
22,"Tambah fasilitas yang menunjang pembelajaran seperti kursi yang baik, televisi untuk presentasi",fasilitas tunjang ajar kursi televisi presentasi,negatif
23,Saya seneng ikut kelas bapak. Respect pak,neng kelas hormat,negatif
24,"dalam mengajar terkadang terlalu cepat tapi masih bisa mengikuti, kemudian ketika kuis soal yang diberikan level nya lebih hots dibandingkan soal latihan :)",ajar terkadang cepat ikut kuis level hots banding latih,negatif
25,tidak ada saran udah bagus,saran bagus,positif
26,"belum ada saran, guru sangat baik dalam mengajari siswanya. mapel favorit.",saran guru ajar siswa mata ajar favorit,positif
27,tugas nya mungkin bisa sedikit di kurangin terima kasih,tugas rangin terima kasih,positif
28,"sangat baik semua, semoga kedepannya lebih baik lagi amin dan ibunya sabar banget ngadepin yang belom paham hehe terimakasih ibu",moga depan amin ibu sabar ngadepin paham wkwkwk terimakasih,positif
29,baiik,baiik,positif
30,konsisten untuk cara pengajaran nya pak karena mudah dipahami,konsisten ajar mudah paham,positif
31,No question,question,positif
32,"Tetap semangat dan sabar dalam menyampaikan materi kepada siswa, tidak semua Siswa mempunyai latar belakang pemahaman alpro yang sama. semangat saya semangat juga bapak",semangat sabar materi siswa siswa latar paham alpro semangat semangat,positif
33,Sejauh ini belum ada,,positif
34,"Secara keseluruhan cara penyampaian Ibu sudah bagus dan bisa saya mengerti, Ibu juga sudah tepat waktu datang di kelas untuk mengajar pada jam mataPelajaran yang sekolahtentukan.",sampai bagus erti waktu kelas ajar jam mata ajar sekolah tentu,negatif
35,tetap semangat untuk mendidik Siswa nya enggeh bu :),semangat didik siswa enggeh bu,positif
36,buk sangat telaten dalam penyampaian materi kepada siswa/i,teliti sampai materi siswa siswi,negatif
37,"sudah bagus pak, mungkin nilai kuiz nya bisa di spill dikit pak",bagus nilai kuiz spill,positif
38,Diharapkan kelas mtl ini bisa dilakukan secara offline agar materinya lebih tersampaikan dengan baik,harap kelas mtl offline materi,negatif
39,harapan saya kepada guru pengampu ketika mengganti jam Pelajaran harap dikonfirmasi sehari sebelumnya,harap guru ampu ganti jam ajar harap konfirmasi hari,negatif
40,untuk latihan soal sebaiknya disesuaikan dengan materi yang ada jangan terlalu susah dan jangan terlalu mudah,latih sesuai materi susah mudah,negatif
41,"Bu guru kurang memenuhi beberapa aspek seperti pola pembelajaran, lebih baiknya jika cara mengajar lebih dijelaskan serta sedikit mendetail agar siswa/i bisa memahami apa yang sedang diajarkan dan tidak hanya mendengarkan record pembelajaran dari kelas sebelumnya",bu guru penuh aspek pola ajar baik ajar detail siswa siswi paham ajar dengar rekam ajar kelas,positif
42,semoga kalo ketemu di semester depan bisa di nerf sedikit tugastugasnya jangan terlalu overpowered tugas nya,moga ketemu semester nerf tugastugasnya overpowered tugas,positif
43,Sudah baik namun alangkah baiknya jika di saat pelajaran yg rumit dikasi jeda 10 menit.,alangkah baik ajar rumit kasi jeda menit,positif
44,Semoga guru lebih fokus lagi pada materi yang diajarkan,moga guru fokus materi ajar,positif
45,Guru sangat baik semoga berkah ilmu yang di ajarkan kepada kita semua aamiin,guru moga berkah ilmu ajar amin,positif
46,Slow down bu otak saya gakuat,slow bu otak gakuat,positif
47,"udah bagus, semangat mengajarnya bu",bagus semangat ajar bu,positif
48,pembelajaran yang menyenangkan dan mudah dipahami.. makasiii bu,ajar senang mudah paham terimakasih bu,positif
49,terimakasih buuu,terimakasih bu,positif
50,Tidak ada sudah bagus:),bagus,positif
51,"Mohon maaf Pak sebelumnya, untuk kedepan nya lebih kan lagi interaksi kepada Siswa agar Siswa lebih tertarik dan paham akan materi yang dibawakan, mungkin dengan menjelaskan contoh materi atau gambaran secara langsung yang dijelaskan di papan tulis lebih sering lagi, terima kasih untuk bimbingan nya selama satu semester ini, semoga ilmu yang diberikan bisa menjadi untuk Bapak dan bermanfaat bagi saya dan temanteman sekalian, aamiin",maaf depan interaksi siswa siswa tarik paham materi bawa contoh materi gambar papan tulis terima kasih bimbing semester moga ilmu manfaat teman teman amin,negatif
52,kedepannya bisa lebih baik lagi,depan,positif
53,sudah baik dalam pengajarannya,ajar,positif
54,cukup baik dalam mengajar,ajar,positif
55,MUNGKIN UNTUK PENYAMPAIAN MATERINYA BISA DI TAMBAHI LAGI,sampai materi tambah,positif
56,Ibu Guru sudah cukup baik dalam berinteraksi,guru interaksi,positif
57,"mungkin saran untuk asprak bisa diseleksi lagi, karena beberapa asprak masih kurang menguasai Pelajarannya. dan mungkin waktu praktikum bisa dibimbing, jangan hanya dikasih soal dan Siswa mengerjakan sendiri",saran asprak seleksi asprak kuasa ajar waktu praktikum bimbing kasih siswa,negatif
58,"terimakasih bu atas pengajaran yang maksimal, semoga ilmu yang diberikan dapat memberikan manfaat bagi Siswa dan semoga ibu mendapatkan balasan lebih atas kebaikan yang telah diberi kepada kita oleh tuhan yang maha esa",terimakasih bu ajar maksimal moga ilmu manfaat siswa moga balas baik tuhan maha esa,positif
59,"Saya berharap bapak guru memberikan tugas sesuai dengan proporsi dan kemampuan siswa,",harap guru tugas sesuai proporsi mampu siswa,negatif
60,guru menguasai materi,guru kuasa materi,negatif
61,Semoga lift lantai 1 di aktifkan kembali,moga lift lantai aktif,positif
62,"mungkin spidol nya pak lebi terang lagi tinta nya,yang bagian belakang kadang tidak jelas melihat tulisan bapak.",spidol lebi terang tinta nyayang kadang tulis,negatif
63,tidak ada saran,saran,positif
64,Semoga kedepannya lebih baik lagi,moga depan,positif
65,dari saya mungkin materi yang diberikan minimal dikasih pendahuluan pak.. biar kita juga tau akan melangkah kemana,materi minimal kasih dahulu tau lang mana,negatif
66,"Tidak ada kritik ibu, soalnya ibu sudah baik dalam mengajar membuat Siswa lebih aktif.",kritik ajar siswa aktif,positif
67,Untuk guru pengampu saya ada sedikit kritik dan saran. Ibu mohon untuk management waktu diperbaiki kembali saya bukan menyalahkan melainkan saya sedikit kebingungan dari manajemen waktu yang ibu sampai kan ke kami. Selalu berubah ubah jadi mohon untuk kedepannya mungkin bisa di perbaiki kembali,guru ampu kritik saran management waktu baik salah bingung manajemen waktu ubah ubah depan baik,positif
68,bagus,bagus,positif
69,semangat buat bapak ibu guru makasih atas bimbingannya sehat terus,semangat guru makasih bimbing sehat,positif
70,Sudah sangat baik dalam proses pembelajaran di kelas. Semoga kedepannya tetap seperti ini.,proses ajar kelas moga depan,positif
71,"sangat ramah dan suka berdiskusi, terimakasih atas bimbingan nya pak",ramah suka diskus terimakasih bimbing,positif
72,Sudah sangat baik dalam pembelajaran,ajar,positif
73,"sangat baik dalam penyampain materi dan menguasai materinya mengenai Pelajaran ICT, tetapi terkadang terlalu banyak slide yang mungkin bebrapa tidak perlu di jelaskan secara detail",penyampain materi kuasa materi ajar ict terkadang slide bebrapa detail,negatif
74,Semoga menjadi lebih baik lagi,moga,positif
75,Jaga kesehatan,jaga sehat,positif
76,Cukup.,,positif
77,Pak kalau bisa tugas nya jangan seminggu sekali,tugas minggu,negatif
78,"Mungkin ini bukan saran sih hanya pendapat saja dari saya untuk guru tidak tetap saja , karena kalo guru tetap di saya rasa sudah cukup mumpuni dalam menguasai materi yg disampaikan dan juga penyampaiannya cukup baik.",saran sih dapat guru guru mumpuni kuasa materi sampai,positif
79,dalam hal pengajaran sudah baik,ajar,positif
80,Guru sudah menyampaikan materi dan berkomunikasi dengan siswa dengan sangat baik,guru materi komunikasi siswa,negatif
81,pembelajaran yangdi sanpaikan oleh bapaknya sangat dipahami dan metode pembelajaran yang dipakai sesuai pemahaman siswanya,ajar yangdi sanpaikan bapak paham metode ajar pakai sesuai paham siswa,negatif
82,Tidak dan kedepanya lebih baik lagi,depa,positif
83,Kasih Praktek sekalian bu,kasih praktek bu,positif
84,"nada berbicara saat menjelaskan lebih semangat lagi supaya walaupun pembelajaran online, Siswa tetap semangat untuk mendengarkan materi",nada bicara semangat ajar online siswa semangat dengar materi,positif
85,"Tidak ada, pengajaran beliau bagus sekali",ajar beliau bagus,positif
86,"Dari saya, bapak guru sudah menggunakan sistem pembelajaran yang baru dan efisien, sehingga penyampaian materi dapat mudah dipahami.",guru sistem ajar efisien sampai materi mudah paham,positif
87,Kalau bisa pak pembelajaran nya dilaksanakan di Lab. Komputer. Terimakasih,ajar laksana lab komputer terimakasih,positif
88,Tidak asa,asa,positif
89,lebih interaktif terhadap Siswa dan siswinya,interaktif siswa siswi,negatif
90,gaada saran bu.. sudahh sangattt baik hehehhe,tidak ada saran bu sudahh hehehhe,positif
91,Mantap bu,mantap bu,positif
92,lebih jelas penyampain an nya,penyampain,negatif
93,Untuk saat ini tidak ada,,positif
94,Kedepan lebih tegas dalam pembelajaraan biar mahasiwa rajin dalam Pelajaran,depan pembelajaraan mahasiwa rajin ajar,positif
95,dalam penyampaian materi begitu baik karena materi yang disampaikan bisa jelas,sampai materi materi,negatif
96,Refrensi CRUDS pada web petani kode kurang lengkap.,refrensi cruds web tani kode lengkap,positif
97,Semangat terus bu,semangat bu,positif
98,Tugas nya klo bisa lebih dipermudah,tugas mudah,positif
99,penyampaian materi kurang baik,sampai materi,positif
100,klo terlambat jangan disuruh nyanyi dong bu hehe,lambat perintah nyanyi bu wkwkwk,positif
101,semoga kedepannya lebih ramah lagi kepada Siswa,moga depan ramah siswa,negatif
102,konsisten untuk cara pengajaran nya,konsisten ajar,positif
103,Menurut saya bapak memberikan metode belajar yang sangat baik sehingga Siswa dapat mudah mengerti dan tidak bosan belajar daring seperti sekarang ini. Cara mengajarnya sangat interaktif dan mudah di mengerti.,metode ajar siswa mudah erti bosan ajar daring ajar interaktif mudah erti,positif
104,Mampu lebih mengoreksi atas eksekusi yang di lakukan Siswa sehingga semua mampu memahami materi,koreksi eksekusi laku siswa paham materi,negatif
105,saran saya untuk guru pengampu yakni tetap melakukan pembelajaran dengan sangat baik,saran guru ampu ajar,positif
106,baik Gurunya,guru,positif
107,semangat mengajar ibuu,semangat ajar ibuu,positif
108,Topp bapak,topp,positif
109,Saran saya kepada ibu bapak Guru. Kalau tidak ada kelas / belajar mandiri hendaknya dikabari pagi pagi. Jangan mepet mepet kelas. Karena kasian yang rumahnya jauh sudah ada disekolah terus kelasnya kosong,saran guru kelas ajar mandiri kabar pagi pagi mepet mepet kelas kasi rumah seko kelas kosong,negatif
110,kemampuan Guru dalam Menjabarkan Materi Sudah Sangat Baik,mampu guru jabar materi,positif
111,Penyampaian materinya masih kurang sering tidak ada kelas,sampai materi kelas,negatif
112,Tidak ada saran karena sudah baik,saran,positif
113,Praktikum sebenarnya tidak terlalu efektif untuk pembelajaran,praktikum efektif ajar,positif
114,Memberi materi yang penerapannya berhubungan dengan jurusan,materi terap hubung jurus,negatif
115,Semoga semakin tahun bertambah dan umur bertambah ibu tetap menjadi guru yang baik dan semakin disukai oleh Siswa,moga tahun tambah umur tambah guru suka siswa,positif
116,"Pak ,saya tidak berkomenta tentang apapun.",komentar apa,positif
117,Kerenn,kerenn,positif
118,Guru sangat baik,guru,positif
119,Tidak ada metode pembelajaran sudah bagus,metode ajar bagus,positif
120,makasih banyak pak,makasih,positif
121,Baik,,positif
122,be Better,better,positif
123,"cara guru berinteraksi dengan Siswa sangat baik walaupun pembelajaran dilakukan secara online, apalagi pada saat sesi tanya jawab jika Siswa kurang bisa menjawab maka guru dengan sigap menambahkan jawaban agar Siswa paham mengenai materi yang telah diberikan",guru interaksi siswa ajar online sesi siswa guru sigap siswa paham materi,negatif
124,Penyampaian materi bisa diberi materi berupa video pembelajaran.,sampai materi materi video ajar,negatif
125,pembelajaran selama satu semester ini menurut saya sudah cukup baik,ajar semester,positif
126,"Secara keseluruhan cara penyampaian Ibu sudah bagus dan bisa saya mengerti, Ibu juga sudah tepat waktu datang di kelas untuk mengajar pada jam mataPelajaran yang sekolah tentukan.",sampai bagus erti waktu kelas ajar jam mata ajar sekolah tentu,negatif
127,maaf bu Semoga kedepannya bisa lebih baik lagi dalam berinteraksi dengan Siswa sehingga Siswa bisa lebih enjoy lagi dalam mengikuti materi yang disampaikan,maaf bu moga depan interaksi siswa siswa senang ikut materi,negatif
128,"Secara keseluruhan penjelasan yang disampaikan sangat baik, tapi lebih baik jika diadakan offline.",jelas ada offline,negatif
129,Semangat Pak,semangat,positif
130,"Semoga bu bisa memperhatikan lebih lagi mengenai bahan materi, untuk diupload ke elearning",moga bu perhati bahan materi unggah elearning,negatif
131,cukup baik,,positif
132,Penjelasan lebih detail dan membahas soalsoal,jelas detail bahas soal soal,positif
133,mungkin PPT bisa diperbesar lagi karena tulisannya kecilkecil.,powerpoint besar tulis kecilkecil,negatif
134,"tidak ada, terima kasih pak selama satu semester ini, sehat selalu pak .",terima kasih semester sehat,positif
135,"Perfect, meski agak deg2 an takut ditanya",sempurna deg takut,positif
136,"Soal final projectnya semoga mirip sama contoh soal pak, terimakasih pak",final projectnya moga contoh terimakasih,positif
137,mungkin jangan percaya Siswa bilang sudah paham pak karena kita kadang juga belum pahaam hehehe,percaya siswa bilang paham kadang pahaam hehehe,negatif
138,Cara mengajarnya sangat interaktif dan mudah di mengerti. Saya berharap bapak bisa meningkatkan lagi,ajar interaktif mudah erti harap tingkat,positif
139,"ibu menyampaikan materi Pelajaran begitu cepat, hal tersebut membuat kami kesulitan dalam memahami materi rumit yang seharusnya disampaikan pelanpelan.",materi ajar cepat sulit paham materi rumit perlahan,negatif
140,Terimakasih pak sudah banyak membantu untuk mempermudah memahami materi :D!,terimakasih bantu mudah paham materi,positif
141,Saran saya adalah agar tetap memberikan dan menyampaikan materi yang terbaik,saran materi baik,positif
142,Semoga bisa lebih baik,moga,positif
143,Sehat2 terus pak!!!,sehat,positif
144,Kedepannya lebih baik,depan,positif
145,jelas dalam memberikan materi,materi,negatif
146,lebih asik dalam berinteraksi dengan Siswa,asik interaksi siswa,negatif
147,Semoga kedapannya dapat lebih baik lagi,moga kedap,positif
148,"Semangat mengajar para siswa, bu",semangat ajar siswa bu,positif
149,"Tidak ada, saya senang diajar beliau",senang ajar beliau,positif
150,mungkin bisa diberikan jawaban yang benar dari tugastugas yang sudah dikerjakan,tugas tugas,negatif
151,harapannya waktu menerangkan materi suara aga lebih keras sedikit,harap waktu terang materi suara aga keras,negatif
152,Lebih bagus lagi kalau dilaksanakan secara offline,bagus laksana offline,negatif
153,"santai tapi pasti, terima kasih telah mengajar dan mohon bantuannya untuk semester depan",santai terima kasih ajar bantu semester,positif
154,sebaiknya lebih jelas dan pelanpelan dalam menjelaskan materi,perlahan materi,negatif
155,belajar dengan pak selalu membuka insight baru. Semoga kedepannya selalu begitu,ajar buka insight moga depan,positif
156,perlu di tingkatkan,tingkat,positif
157,sudah baik Gurunya,guru,positif
158,"Sudah baik, serta dapat untuk ditingkatkan",tingkat,positif
159,Ketika memberikan tugas lebih di perjelas lagi,tugas jelas,negatif
160,kurang efektif pembelajarannya,efektif ajar,positif
161,"Saran dari saya, semoga bapak dapat memperpanjang batas waktu pengumpulan tugas. Terima Kasih",saran moga panjang batas waktu kumpul tugas terima kasih,negatif
162,"tidak ada saran,Bu sangat baik saat menjelaskan dan menyampaikan materi di kelas.",saran ibu materi kelas,negatif
163,semoga lebih baik dan sukses kedepannya bu,moga sukses depan bu,positif
164,semoga ibu sehat selalu,moga sehat,positif
165,semoga tetap begini dengan cara pembelajaran yang nyaman,moga ajar nyaman,positif
166,Menurut saya ibu sudah mengajar dan memberikan materi dengan baik sehingga Siswa dapat memahaminya,ajar materi siswa paham,negatif
167,"Semoga kedepannya guru lebih baik lagi,dan menjadi panutan serta tauladan untuk siswanya.",moga depan guru lagidan panutan tauladan siswa,positif
168,"Kedepannya bisa luring, supaya biss leluasa bertanya",depan luring biss leluasa,positif
169,Baik baik baik,,positif
170,Untuk guru pengajar tertentu agar diberikan materi sebelum diberikan soalsoal,guru ajar materi soal soal,positif
171,Diusahakan untuk memberitahu kepastian jam Pelajaran online atau offline minimal sehari sebelum Pelajaran dimulai,usaha memberitahu pasti jam ajar online offline minimal hari ajar,negatif
172,"Sejauh ini tidak ada saran dari saya. Pak sangat baik dalam menerangkan, santai tetapi serius sehingga suasa menyenangka saat di kelas, terima kasih saya ucapkan untuk pak .",saran terang santai serius suasa nangka kelas terima kasih ucap,positif
173,sangatt baik,,positif
174,Pertahankan apa yang sudah baik,tahan,positif
175,Terimakasih Pak atas Kebaikannya,terimakasih baik,positif
176,berikan teori terbaru untuk sebuah pendapat,teori baru dapat,negatif
177,Semoga lebih baik lagi pak dalam mengajarnya,moga ajar,positif
178,sehat selalu pak:),sehat,positif
179,Permisi bu mau kasih saran mohon kalau dikelas lebih murah senyum bu dan lebih bisa berinteraksi kepada kami para Siswa non kedaireka bu kami juga ingin lebih banyak interaksi dengan ibu ataupun ibu respon cukup membuat kami bahagia seakan kami ada didalam kelas tersebut terima kasih,permisi bu kasih saran kelas murah senyum bu interaksi siswa non kedaireka bu interaksi respon bahagia akan dalam kelas terima kasih,positif
180,kurang dikit,,positif
181,dalam menyampaikan materi lebih diperdalam&detail,materi diperdalamdetail,negatif
182,"tidak ada saran, materinya cukup mudah dipahami",saran materi mudah paham,positif
183,Pembelajaran lebih fleksibel lebih bagus,ajar fleksibel bagus,positif
184,Terima kasih untuk para guru,terima kasih guru,positif
185,Lebih baik dalam mengajar,ajar,positif
186,Baik pertahankan ibu,tahan,positif
187,"Tidak ada saran dari saya, karena menurut saya bapak sudah sangat baik dalam mengajar mulai dari menerangkan secara online maupun offline. Materi pun juga sudah di tampilkan di e learning secara lengkap dan rapi sehingga membantu kami sebagai Siswa jika ingin mereview materi. Terima kasih banyak untuk pak .",saran ajar terang online offline materi tampil ajar lengkap rapi bantu siswa mereview materi terima kasih,negatif
188,kalau bisa pembelajarannya dilakukan secara offline,ajar offline,negatif
189,no comment,comment,positif
190,"sangat cukup dan semoga kedepannya mampu memberikan toleransi keterlambatan, kekurangan kepada Siswa",moga depan toleransi lambat kurang siswa,negatif
191,"Guru online terus jadi Siswa susah menangkap materi atau menguasai , guru juga terkadang suka mendadak memberikan kabar kejelasan kelas",guru online siswa susah tangkap materi kuasa guru terkadang suka dadak kabar jelas kelas,negatif
192,Tetap jaga metode pembelajarannya,jaga metode ajar,positif
193,Sudah sangat baik tidak ada saran,saran,positif
194,Dimohon kepada guru untuk tidak menunda jam Pelajaran yang sudah ditentukan. Ketika Siswa melakukan responsi dimohon untuk memberi respon dan memberi pembenaran pada pengerjaan. Terimakasih telah memberi ilmu di semester ini.,mohon guru tunda jam ajar tentu siswa responsif mohon respon benar kerja terimakasih ilmu semester,negatif
195,pertemuan Pelajaran mungkin bisa disesuaikan lagi dengan jadwal dari sekolah,temu ajar sesuai jadwal sekolah,negatif
196,Sehat selalu dan terus bertambah rezekinya¿¿¿¿¿¿¿¿,sehat tambah rezeki,positif
197,Semangat terus pak,semangat,positif
198,"tidak ada saran,pak the best¿¿¿¿",saranpak best,positif
199,sering hadir lagi,hadir,positif
200,mengajarkan materi secara lebih rinci lagi,ajar materi rinci,positif
201,Cukup baik tapi tolong lebih dijelaskan materi nya,tolong materi,negatif
202,Semoga lebih baik lagi dalam mengajar,moga ajar,positif
203,Pembelajaran asik,ajar asik,positif
204,"Kami merasa Bapak/Ibu menjelaskan materi dengan terlalu cepat, sehingga kami tidak sempat mencatat materi.Agar kami bisa mencatat dan memahami materi dengan baik, kami menyarankan Ibu untuk menjelaskan materi dengan lebih perlahan",bapak ibu materi cepat catat materiagar catat paham materi saran materi perlahan,positif
205,"udah sangat baik, lebih perlahan mengajarnya",perlahan ajar,positif
206,"Lebih Menekan Dan Mencari Siswa yang belum menguasai di bidang tersebut,agar Siswa bisa mengejar materi yang sekiranya tidak bisa menjadi bisa, kadang ada juga Siswa yang ingin bertanya tapi sungkan dengan temannya yang pintar mungkin itu saja terima kasih",tekan cari siswa kuasa bidang tersebutagar siswa kejar materi kadang siswa sungkan teman pintar terima kasih,negatif
207,Terimakasih bapak/ibu guru untuk pegajaran dan pelajaran selama 1 semester ini.,terimakasih bapak ibu guru pegajaran ajar semester,positif
208,Penyampaian materi lebih di perjelas,sampai materi jelas,positif
209,mungkin sesekali bisa diiringi belajar sambil games,iring ajar main,positif
210,Kedepannya bisa lebih baik,depan,positif
211,"Terlalu banyak bercandaan, dan penjelasannya kurang runtut",canda jelas runtut,positif
212,Suka dengan pembelajaran bu tentunya selain mudah mengerti juga penyampaian dan tampilan yang baik. Saran saya yaitu perlunya saat praktikum di jelaskan melalui coding langsung jangan hanya mengetik coding yang di layar.,suka ajar bu mudah erti sampai tampil saran praktikum coding etik coding layar,positif
213,untuk penjelasan materi sdh sangat baik,jelas materi sdh,positif
214,Semoga lebih baik lagi,moga,positif
215,semoga pada penjelasan selanjutnya lebih baik,moga jelas,positif
216,untuk dari segi mengajar sudah bagus dan tugas juga sudah baik,segi ajar bagus tugas,positif
217,secara keseluruhan penyampain materi sangat baik:),penyampain materi,negatif
218,TETAP SEMANGAT MEMBIMBING KAMI DAN BAIKK,semangat bimbing,positif
219,Semangat selalu bu :),semangat bu,positif
220,"mohon untuk mempertimbangkan dalam mengajar menggunakan metode penjelasan+praktikum dalam 1 pertemuan. karena selama ini penjelasan ada di awal semester, sedangkan praktikum ada di akhir semester. sehingga Siswa tidak mengerti selama mereka praktikum, mereka sedang melakukan apa, karena mereka hanya mengikuti langkah2 praktikum.",timbang ajar metode penjelasanpraktikum temu jelas semester praktikum semester siswa erti praktikum ikut langkah praktikum,negatif
221,Agar cara mengajarnya lebih menarik dan baik lagi,ajar tarik,positif
222,"mohon untuk diluluskan dalam kulian matematika optimasi dan mendapatkan nilai yang bagus, terimakasih bu",lulus kuli matematika optimasi nilai bagus terimakasih bu,positif
223,kalau ngomong jangan cepet cepet bu,ngomong cepat cepat bu,negatif
224,Penyampaian materi agak sedikit cepat namun masih dapat dimengerti,sampai materi cepat erti,negatif
225,saran saya selama pembelajaran satu semester udah baik dengan penyampaian materi untuk kedepannya tetap dipertahankan agar suasana pembelajaran lebih nyaman,saran ajar semester sampai materi depan tahan suasana ajar nyaman,positif
226,"Menurut saya, jika mengaja beliau bisa mempertegas suara dalam menyampaikan materi",aja beliau tegas suara materi,negatif
227,"Lebih banyak lagi referensi materi yang sesuai serta model model pemrograman yang sesuai, datang tepat waktu sesuai jadwal agar tidak mengganggu waktu selanjutnya",referensi materi sesuai model model pemrograman sesuai waktu sesuai jadwal ganggu waktu,negatif
228,untuk kedepannya semoga datang tepat waktu,depan moga waktu,negatif
229,sudah sangat baikk dan asik,asik,positif
230,Tetap semangat dan sabar dalam menyampaikan materi kepada Siswa,semangat sabar materi siswa,positif
231,Volume suaranya agak dibesarkan dikit,volume suara besar,negatif
