,Survey,Clean_Text,Label_prediksi
232,guru terkadang menghilang tibatiba tanpa memberi kabar sehingga komunikasi terhadap Siswa sangat kurang. kemudian ketika Siswa memberi pertanyaan ketika kelas terkadang jawaban guru tidak sesuai yang ditanyakan (terlalu berteletele),guru terkadang hilang tibatiba kabar komunikasi siswa siswa kelas terkadang guru sesuai berteletele,negatif
233,"udah bagus, lebih semangat lagi mengajarnya pak",bagus semangat ajar,positif
234,guru menyampaikan materi dengan sangat baik dan efektif sehingga mudah untuk difahami oleh Siswa,guru materi efektif mudah paham siswa,positif
235,untuk materinya bisa di upload ke elearning.,materi unggah elearning,negatif
236,Mungkin diadakan kelas offline sekali2,ada kelas offline,negatif
237,"Ibu menurut saya,saya tidak berkomentar tentang apapun.",sayasaya komentar apa,positif
238,baik dalam pengajaran namun pak tidak pernah mengisi kbm,ajar isi giat ajar ajar,positif
239,Secara keseluruhan cara penyampaian ibu sudah sangat baik dan mudah dimengerti serta ibu juga selalu tepat waktu datang di kelas untuk mengajar pada jam Pelajaran pengantar akuntansi.,sampai mudah erti waktu kelas ajar jam ajar antar akuntansi,negatif
240,saran sudah cukup,saran,positif
241,Kalau bisw mtk diadakan offline aja bu,bisw matematika ada offline bu,negatif
242,saran saya mencapaikan materi Pancasila sangat bisa dipahami,saran capai materi pancasila paham,positif
243,"saran untuk bu , semoga jadi guru TI aminn...",saran bu moga guru ti amin,positif
244,cara anda menyampaikan mudah dipahami,mudah paham,positif
245,Terima kasih atas ilmunya bu,terima kasih ilmu bu,positif
246,selalu mengawasi perkembangan Siswa,awas kembang siswa,negatif
247,Terimaksih,terimaksih,positif
248,"Saya harap untuk beberapa bapak/ibu guru dapat menggunakan sistem pembelajaran secara luring, agar materi yang disampaikan dapat dipahami lebih mudah dan maksimal.",harap bapak ibu guru sistem ajar luring materi paham mudah maksimal,positif
249,Pengaturan jadwalnya kurang rapi,atur jadwal rapi,negatif
250,Menjadi lebih baik lagi,,positif
251,Datang tepat waktu dengan kelas yang flexible,waktu kelas flexible,negatif
252,"Sudah cukup baik, ditingkatkan lagi dalam memaparkan materi agar bisa lebih menyenangkan",tingkat papar materi senang,positif
253,"Proses Pelajaran sangat baik dan disiplin ,tidak ada saran",proses ajar disiplin saran,positif
254,Semangat ngajar pak,semangat ajar,positif
255,mungkin dalam hal mengajar selama online lebih di perbaiki lagi supaya mudah memahami materi terutama praktikum,ajar online baik mudah paham materi praktikum,positif
256,"Mohon maaf sebelumnya pak semisal memberi info kalau kelasnya menjadi daring bisa di berikan satu hari sebelumnya pak, karena banyak teman¿¿ yang sudah dateng ke sekolah",maaf info kelas daring teman dateng sekolah,negatif
257,Untuk suaranya ketika menjelaskan agak lebih santai lagi bu(:,suara santai bu,positif
258,"Tidak ada saran ataupun kritikan, Guru terbaik versi saya selama 1 semester saya sekolah",saran kritik guru baik versi semester sekolah,positif
259,"Sehat selalu pak, bisa luring terus sampe wisuda pak¿¿¿¿",sehat luring sampe wisuda,positif
260,"Pesan : Sehat selalu pak, Tidak ada kritik pak, Dan saya meminta maaf jika mempunyai salah kepada bapak. Sekali lagi terima kasih bapak.",pesan sehat kritik maaf salah terima kasih,positif
261,Sudah cukup baik,,positif
262,GK ada,,positif
263,guru jos,guru bagus,positif
264,sangat baik dalam menyampaikan materi,materi,negatif
265,"Guru pengampu membawakan materi dengan nyaman dan baik, namun untuk waktu masih kurang sehingga beberapa kali ada kelas pengganti atau keteteran dalam mengejar materi yang tertinggal.",guru ampu bawa materi nyaman waktu kelas ganti keteter kejar materi tinggal,negatif
266,penyampaian baik cuma kurang bisa didengar,sampai dengar,positif
267,"sudah sangat baik dalam penyampaian materi mapel sistem digital ini,semoga bu sehat selalu",sampai materi mata ajar sistem digital ini moga bu sehat,positif
268,sistem mengajarnya sudah baik,sistem ajar,positif
269,Semoga sehat selalu ¿¿¿¿,moga sehat,positif
270,Overall OK,ok,positif
271,Tetap menjadi orang yang menyenangkan bu,senang bu,positif
272,guru baik,guru,positif
273,semoga semester depan lebih niat dalam mengajar dan lebih menguasai materi yang di ajar. terimakasih.,moga semester niat ajar kuasa materi ajar terimakasih,positif
274,Menurut saya banyak materi Pelajaran ini yang saya rasa kurang mampu saya serap dikarenakan saya kesulitan fokus dan menangkap materi jika dilakukan secara online.,materi ajar serap sulit fokus tangkap materi online,negatif
275,secara materi sudah lengkap dan penjelasan mudah dimengerti,materi lengkap jelas mudah erti,positif
276,Terimakasih untuk bu telah memberikan matei yang sangat baik dan materi berbahasa inggris sangat menarik.,terimakasih bu mate materi bahasa inggris tarik,positif
277,perbanyak tugas buat latihan,banyak tugas latih,negatif
278,"Tidak semua materi Pelajaran (file ppt) di upload ke elearning. Semoga kedepannya, kami (siswa) dapat akaes ke semua materi Pelajaran (file ppt), untuk belajar Pak",materi ajar file powerpoint unggah elearning moga depan siswa akaes materi ajar file powerpoint ajar,negatif
279,Tidak ada,,positif
280,"PAK BAIK,, TERIMAKASIH",terimakasih,positif
281,tdk ada saran,saran,positif
282,"semoga pak sehat selalu, dan terimakasih untuk ilmunya satu semester ini pak",moga sehat terimakasih ilmu semester,positif
283,ok,ok,positif
284,"Sudah sangat baik, tingkatkan kualitas pengajaran",tingkat kualitas ajar,positif
285,semoga bisa lulus dengan ilmu yang barokah,moga lulus ilmu barokah,positif
286,"Saran untuk guru pengampu apabila mengajukan soal di kelas, mempersilahkan Siswa yang belum pernah menjawab soal. Karena terdapat tipe Siswa yang cerdas tetapi pemalu, sehingga perlu dorongan guru pengampu untuk maju menjawab soal. Supaya poin keaktifan tidak diberikan kepada anak yang sama, dan pembagian poin dapat merata.",saran guru ampu aju kelas silah siswa tipe siswa cerdas malu dorong guru ampu maju poin aktif anak bagi poin rata,negatif
287,"Pemberian Materi sudah baik, penugasan terlalu banyak menggunakan kertas. Ada beberapa teori yang masih cukup membingungkan untuk dipahami",beri materi tugas kertas teori bingung paham,negatif
288,Saya berharap meningkatkan materi pembelajaran,harap tingkat materi ajar,positif
289,dalam menjelaskan jangan terlalu terburuburu dan lebih byk berinterkasi dg Siswa,buru buru byk berinterkasi dg siswa,positif
290,Greater than before,greater,positif
291,"mohon untuk memberikan saya nilai B, terima kasih",nilai terima kasih,positif
292,Sudah sangat baik terimakasih bapak dan ibu guru,terimakasih guru,positif
293,Tetap semangat Pak/Bu,semangat pakbu,positif
294,orangnya baik banget,orang,positif
295,"Secara keseluruhan pengajaran Pelajaran bu sudah sangat bagus. Dengan penguasaan materi dan penjelasan yang diberikan sangat jelas dapat menjawab ketidaktahuan kami, serta memberikan tambahan ilmu bagi kami. Terima kasih bu",ajar ajar bu bagus kuasa materi jelas ketidaktahuan tambah ilmu terima kasih bu,positif
296,Sangat amat baik,,positif
297,Sudah sangat baik namun tetap ditingkatkan lagi kualitas nya,tingkat kualitas,positif
298,"belum ada saran, guru sangat baik dalam mengajari siswanya.",saran guru ajar siswa,negatif
299,Untuk penyampainnya materi agak terlalu cepat. Terimakasih bu,penyampainnya materi cepat terimakasih bu,positif
300,tidak ada karena sudah baik,,positif
301,Semoga diberi kelancaran dalam mengajari kami,moga lancar ajar,positif
302,secara keseluruhan untuk penyampaian materi sudah baiik tetapi kami berharap segi pembelajarann praktikum lebih dijelaskan secara rinci,sampai materi baiik harap segi pembelajarann praktikum rinci,positif
303,semoga lebih sedikit memberikan tugas,moga tugas,negatif
304,dalam pembelajaran sudah cukup untuk mudah dipahami untuk Siswa,ajar mudah paham siswa,positif
305,guru saat menjelaskan sangat cepat,guru cepat,negatif
306,sudah cukup sangat baik Bu dalam penyampaian materi dan tugas,bu sampai materi tugas,positif
307,"Semoga kedepan nya lebih baik lagi dan memberikan yang terbaik kemudian kalau memberi tugas jangan terlalu sulit atau memberatkan siswa, sebelumnya maaf dan terima kasih.",moga depan baik tugas sulit berat siswa maaf terima kasih,positif
308,untuk tetap terus memberikan materi yang berkualitas,materi kualitas,negatif
309,"soal soal nya yg dkasih masyaAllah susah kali, terus banyak tugas :'v",dkasih masyaallah susah tugas,negatif
310,TERIMA KASIH BU ATAS ILMUNYA YANG BERMANFAAT,terima kasih bu ilmu manfaat,positif
311,sehat selalu pak,sehat,positif
312,sudah cukup baik menurut saya,,positif
313,Untuk pak mohon untuk menguasai materi sehingga apabila ada pertanyaan tidak langsung dilempar ke google,kuasa materi lempar google,negatif
314,Saran untuk pembelajaran Pelajaran elektromagnetika telekomunikasi adalah semoga semakin lebih baik lagi dalam menyampaikan materi,saran ajar ajar elektromagnetika telekomunikasi moga materi,positif
315,Semngat,semangat,positif
316,sejauh ini tidak ada,,positif
317,"cara mengajarnya untuk selama satu semester ini sangat mudah dipahami dan mudah untuk dimengerti, semoga ilmu yang diberikan bermanfaat",ajar semester mudah paham mudah erti moga ilmu manfaat,positif
318,tetap semangat pak guru untuk mengajar kita sebagai Siswa,semangat guru ajar siswa,positif
319,Tetap semangat dan terimakasih.,semangat terimakasih,positif
320,Lebih menjelaskan detail,detail,positif
321,mohon maaf saat bapak menjelaskan materi di depan suara bapak sering tidak terdengar,maaf materi suara dengar,negatif
322,kalau bisa pembelajaraanya dilakukan secara offline,pembelajaraanya offline,negatif
323,Top dalam hal penyampaian materinya dan asik,bagus sampai materi asik,positif
324,Ketidaksesuain strategi pembelajaran yang harusnya setelah pertengahan semester mempelajari tentang pengimplementasian data mining dengan coding,ketidaksesuain strategi ajar tengah semester ajar implementasi data mining coding,negatif
325,Materi yang diajarkan sangat mudah dipahami dan diaplikasikan.,materi ajar mudah paham aplikasi,positif
326,Bu kalau jelasin cukup mudah buat dipahami,bu mudah paham,positif
327,sudah baik. saya menikmati Pelajaran Data Mining dengan Pak,nikmat ajar data mining,positif
328,metode pengajarannya sudah sangat baik,metode ajar,positif
329,Saran saya lebih lagi mengasih toleransi untuk Siswa yang memiliki halangan saat terlambat,saran asih toleransi siswa milik halang lambat,negatif
330,"terimakasih pak, selama proses pembelajaran berlangsung bapak sudah menjelaskan materi dengan baik dan dapat diterima dengan mudah",terimakasih proses ajar materi terima mudah,positif
331,"materinya sih enak, tapi kebanyakan tugas kelompok presentasi. apa itu strategi guru saat malas memberi materi?? hmmm menarikkk",materi sih banyak tugas kelompok presentasi strategi guru malas materi hm tarik,negatif
332,sangat baik sekali,,positif
333,sudah mengajar dengan sangat baik,ajar,positif
334,"Metode pembejaran yang hanya berfokus dengan bagaimana mengerjakan soal, jadi terkesan sama dengan cara pembejaran anak SMA",metode pembejaran fokus kes pembejaran anak sma,negatif
335,Tidk ada,tidk,positif
336,"Tidak ada, sudah sangat baik.",,positif
337,Saran agar memberi kelonggaran untuk pengumpulan tugas,saran longgar kumpul tugas,negatif
338,lebih bersabar dalam menghadapi Siswa,sabar hadap siswa,negatif
339,semoga kedepannya bisa lebih baik lagi dalam menyampaikan materi pembelajaran,moga depan materi ajar,positif
340,Agar lebih sabar lagi dalam memberi penyampaian materi agar para Siswa bisa lebih paham lagi,sabar sampai materi siswa paham,negatif
341,Siap,,positif
342,sangat baik dalam penjelasan materi,jelas materi,positif
343,Sekali kali Pelajaran offline pak,ajar offline,negatif
344,untuk pak sudah cukup baik penyampaian dan sangat memahami materi,sampai paham materi,positif
345,"Gurunya sudah bagus menaruh jam istirahat di saat jam kelas, dan tentunya detail banget dalam penjelasan dan asik. tapi sayang saya nya yang kurang suka matematika.",guru bagus taruh jam istirahat jam kelas detail jelas asik sayang suka matematika,positif
346,Memberitahu ke Siswa jika tidak ada kelas paling lambat 3 jam sebelum pelajaran dimulai,memberitahu siswa kelas lambat jam ajar,negatif
347,Insyallah Tidak ada Cukup,insyallah,positif
348,Lebih tepat waktu dalam memberi materi yang dikirim di elearning,waktu materi kirim elearning,negatif
349,"Semoga bu tetap menjadi guru saya, karena cara mengajarnya sangat menyenangkan",moga bu guru ajar senang,positif
350,Semoga kedepannya lebih menjelaskan secara detail dari materi nya bukan cuman sekedar ppt nya,moga depan detail materi cuman dar powerpoint,positif
351,"kedepan nya di mohon agar guru bisa lebih menghandle semua Siswa agar tertib, terimakasih",depan guru menghandle siswa tertib terimakasih,positif
352,kurang paham materinya,paham materi,positif
353,"Tidak ada, hanya saja lebih banyak untuk pertimbangan pertemuan offline saja.",timbang temu offline,negatif
354,tidak ada pak sangat baik sekali,,positif
355,Menjelaskan pelanpelan santai tetapi tetap berbobot dan membuat paham siswa(i),perlahan santai bobot paham siswa siswi,negatif
356,guru joss pol,guru bagus pol,positif
357,Mungkin diadakan kelas offline jadi lebih baik,ada kelas offline,negatif
358,lebih semangat dalam mengajar,semangat ajar,positif
359,Interaksi dengan murid ditingkatan,interaksi murid tingkat,positif
360,Sudah Cukup Baik Walaupun Full Online Materi yang disampaikan bisa diresapi dan dopahami,penuh online materi resap dopahami,negatif
361,Mungkin materi penjelasan lebih komplek lagi,materi jelas komplek,positif
362,terimaksih bu,terimaksih bu,positif
363,Semngat ibu !!,semangat,positif
364,Tetap dipertahankan dalam menyampaikan materi di kelas karena mudah di pahami,tahan materi kelas mudah paham,positif
365,"mungkin kalau masalah elearning bisa diinfokan kembali di grub, karena elearning tidak ada notif. untuk pembelajarannya sudah sangat cukup baik",elearning info grub elearning notif ajar,negatif
366,"Tidak ada saran. Hanya ingin menyampaikan terima kasih sebesarbesarnya telah membantu, pak",saran terima kasih sebesarbesarnya bantu,positif
367,untuk saat ini tidak ada mungkin di penyampaian materi saja yang lebih ditingkatkan supaya pembelajaran menjadi lebih menarik minat,sampai materi tingkat ajar tarik minat,positif
368,Semakin baikkk amiin,amiin,positif
369,"Tidak ada saran karena menurut saya interaksi, Materi, dan sistem ajar mengajar sudah cukup baik",saran interaksi materi sistem ajar ajar,negatif
370,Mungkin kedepannya pemaparan materi bisa lebih jelas beserta contoh soalnya pelan2 sehingga bisa benar2 paham,depan papar materi serta contoh perlahan paham,positif
371,Semangat terus bu,semangat bu,positif
372,mantap seru menyenangkan,mantap seru senang,positif
373,"permisi pak , saya mau komplain masalah lift pak, soal nya di igracias tidak ada kusioner untuk kritik saran",permisi komplain lift igracias kusioner kritik saran,positif
374,no comment bu de best,comment bu de best,positif
375,Sarannya untuk lebih interaktif dengan Siswa saat memberikan pembelajaran agar tidak jenuh.,saran interaktif siswa ajar jenuh,negatif
376,"sangattt baik buat pak , semnagat dan terimakasih",semnagat terimakasih,positif
377,good,bagus,positif
378,Materi yang disampaikan pada akhirnya kurang jelas dikarenakan banyaknya materi dari berbagai tamu dari berbagai perusahaan yang dipresentasikan kepada jumlah Siswa yang banyak,materi banyak materi tamu usaha presentasi siswa,negatif
379,Semoga bisa semakin lebih baik lagi kedepannya,moga depan,positif
380,Semoga metode pembelajaran yang bagus dapat dipertahankan,moga metode ajar bagus tahan,positif
381,mungkin tidak ada saran sekian terimakasih.,saran sekian terimakasih,positif
382,tetap baik,,positif
383,lebih rajin lagi untuk mengajar di jam yg tepat,rajin ajar jam,positif
384,jika menerangkan materi jangan cepat cepat apalagi kimia online maka Siswa susah nangkep materi tersebut,terang materi cepat cepat kimia online siswa susah nangkep materi,negatif
385,"tidak pernah menyampaikan materi, sehingga kurangnya pemahaman Siswa dalam Pelajaran ini, tugas juga tidak jelas",materi kurang paham siswa ajar tugas,negatif
386,Menurut saya semua guru pengampu dikelas saya sudah sangat baik,guru ampu kelas,negatif
387,ditambah lagi praktiknya,tambah praktik,positif
388,"kalau semester depan ada tugas kelompok, kelompoknya milih sendiri aja bu, sudah kapok dengan kelompok tubes kemarin",semester tugas kelompok kelompok milih bu kapok kelompok tubes kemarin,positif
389,"Lebih jelas lagi mengajar alpro, karena susah pak:(",ajar alpro susah,negatif
390,"Saran dari saya mungkin tetaplah menjadi bu yang sekarang yaitu ramah, menyampaikan materi dengan baik dan interaktif, serta jangan telat lagi bu masuk ke kelas",saran tetap bu ramah materi interaktif lambat bu kelas,positif
391,semoga jurusan ds 02 lulus mapelnya amiinnn..,moga jurus ds lulus mata ajar amiin,positif
392,"pembelajaran perilaku organisasi dengan bu cukup tersampaikan ke siswa, saran saya sebaiknya isi ppt yang disamapikan mungkin bisa diubah dengan bahasa yang mudah dipahami",ajar perilaku organisasi bu siswa saran isi powerpoint disamapikan ubah bahasa mudah paham,positif
393,mungkin jika lebih banyak melakukan praktikum secara langusng daripada pemberian materi teori saja Siswa bisa jadi ebih paham tentang materi Pelajaran IoT,praktikum langusng beri materi teori siswa ebih paham materi ajar iot,negatif
394,"Mungkin diadakan kelas pengganti jika ada Pelajaran LTI yang libur, materi diupload ke elearning",ada kelas ganti ajar lti libur materi unggah elearning,negatif
395,Sudah terlalu sempurna,sempurna,positif
396,saran saya pembelajaran offline / tatap muka sering di lakukan,saran ajar offline tatap muka laku,negatif
397,"Materi diupload di elearning, jika pembelajaran dilakukan secara online, sebaiknya suara narasumber lebih keras lagi dan berada pada jaringan yang stabil",materi unggah elearning ajar online suara narasumber keras jaring stabil,negatif
398,lebih baik dalam menyampaikan pembelajaran,ajar,positif
399,Semoga konsisten terus Pak,moga konsisten,positif
400,"tidak ada, terima kasih bu",terima kasih bu,positif
401,lebih baik kedepannya,depan,positif
402,sudah cukup,,positif
403,cara penyampaian kurang baik,sampai,positif
404,Sudah sangat baik dalam membantu menyelesaikan kerja praktik,bantu selesai praktik,negatif
405,Semoga lebih sabar lagi dalam memberi penyampaian materi perihal tentang jurnal,moga sabar sampai materi perihal jurnal,positif
406,"Tidak ada,berharap next mapel ketemu lagi sama pak guru satu ini,keren pak",adaberharap next mata ajar ketemu guru inikeren,positif
407,Dalam memberikan materi pak sudah sangat baik,materi,negatif
408,Mohon untuk tidak memberikan informasi secara mendadak,informasi dadak,positif
409,penyampaian materi sudah cukup baik dan terimakasik untuk satu semester ini.,sampai materi terimakasik semester,positif
410,Tidak ads,ads,positif
411,Good service,bagus service,positif
412,aman,aman,positif
413,sudah mencukupi,cukup,positif
414,baik dalam menjelaskan materi,materi,negatif
415,nothing,nothing,positif
416,Semoga bisa lebih baik lagi,moga,positif
417,"Harus mengajarkan akuntansi yg benarbenar dasar dulu & bagaimana penerapannya. Kami tidak bisa langsung, Harus bertahap",ajar akuntansi benar benar dasar terap tahap,positif
418,materi sudah saya terima dengan baik dan benar semoga bisa lebih baik untuk kedepanya amin,materi terima moga depa amin,positif
419,sebaiknya di semester depan di ajar oleh bapak lagi,semester ajar,positif
420,mohon untuk lebih interaktif dengan Siswa saat menjeaskan materi,interaktif siswa menjeaskan materi,negatif
421,"tidak ada bu, sudah terbaikk",bu terbaikk,positif
422,"Menurut saya matematika lebih baik belajar secara offline, karena jika secara online banyak halangan jadi lebih susah untuk dimengerti",matematika ajar offline online halang susah erti,negatif
423,Semoga lebih sabar lagi dalam memberi penyampaian materi yang ada,moga sabar sampai materi,positif
424,The best guru,best guru,positif
425,Tetap semangat dalam mengajar,semangat ajar,positif
426,"slidenya jangan banyak banyak pak, karena jika kebanyakan saya sudah tidak fokus.terimakasih pak",slidenya banyak fokusterimakasih,positif
427,Best,best,positif
428,"Rincian materi yang diberi mungkin agak terlalu luas, seperti ceramah dengan jamaah",rincian materi luas ceramah jamaah,negatif
429,Ketika ada tugas terkadang tempat pengumpulan di elearning nya belum diberikan,tugas terkadang kumpul elearning,negatif
430,semoga menjadi lebih baik dan ramah lagi,moga ramah,negatif
431,PAK BAIK BANGET MASHA ALLAH,masha allah,positif
432,pembelajaran selama satu semester ini menurut saya sudah sangat baik. benar2 paham kodingan web,ajar semester paham kodingan web,positif
433,Keren Buu,bagus,positif
434,Lebih ditingkatkan lagi menjadi guru yang lebih baik,tingkat guru,positif
435,Saya berharap bapak meningkatkan lagi metode pembelajarannya agar kelas nya lebih atraktif,harap tingkat metode ajar kelas atraktif,negatif
436,gaada soalnya ibu guru favoritku :),tidak ada guru favorit,positif
437,"Dalam penyampaian materi sudah sangat bagus, mungkin kedepannya lebih ditingkatkan lagi",sampai materi bagus depan tingkat,positif
438,Semoga makin semangat bu,moga semangat bu,positif
439,Volume suaranya agak besarkan dikit,volume suara besar,negatif
440,"Karena kelas nya bu online ditambah dengan pelajaran matematika, menurut saya memang tidak cocok di sana kami merasakan tidak bisa memahami pembelajarannya karena kalau matematika mestinya kelas offline.",kelas bu online tambah ajar matematika cocok rasa paham ajar matematika mesti kelas offline,negatif
441,lebih tegas jika ada yang mengulur waktu,ulur waktu,negatif
442,"tidak ada saran, guru sudah sangat baik",saran guru,positif
443,MANTAP,mantap,positif
444,Tetap pertahankan cara mengajarnya,tahan ajar,positif
445,Improve dong bang,improve bang,positif
446,materinya menarik dan perbanyak kelas offline,materi tarik banyak kelas offline,negatif
447,Lebih baik untuk kedepannya,depan,positif
448,"jika berkenan, Bapak/Ibu guru mungkin bisa menghadirkan variasi mengajar baru dengan memberikan isuisu relevan pada masa kini yang berkaitan juga dengan Pelajaran yang diajarkan",kenan bapak ibu guru hadir variasi ajar isu isu relevan kait ajar ajar,negatif
449,lebih aktif dalam kegiatan Pelajaran sehingga materi bisa disampaikan secara maksimal,aktif giat ajar materi maksimal,positif
450,"Bu keren, semangat buuu",bu bagus semangat bu,positif
451,Semoga lebih baik kedepannya dalam berbagai bidang,moga depan bidang,positif
452,Sudah mantap pak tidak ada saran,mantap saran,positif
453,saran saya mungkin guru memberikan variasi metode pembelajaran yang lebih lg dalam mengajar,saran guru variasi metode ajar lg ajar,positif
454,"Kami merasa sulit berkomunikasi dengan ibu melalui whatsapp, karena ibu jarang membalas pesan kami.",sulit komunikasi whatsapp jarang balas pesan,negatif
455,"sebelumnya mohon maaf pak, mohon untuk penulisan di papan agak diperbesar lagi, soalnya kadang terlalu kecil pakk. Terima kasih",maaf tulis papan besar kadang terima kasih,negatif
456,"Untuk bu selaku asisten mapel Pancasila, terima kasih atas penyampaiannya yang rinci & mudah untuk dipahami siswa, selalu sabar menghadapi kami. Sehat selalu, bu",bu asisten mata ajar pancasila terima kasih sampai rinci mudah paham siswa sabar hadap sehat bu,positif
457,semoga kedepannya lebih sedikit humoris,moga depan humoris,positif
458,"dari awal semester kelas diadakan melalui zoom meeting namun itu tidak mengganggu proses penyampaian materi , karena penjelasan yang diberikan cukup mudah dimengerti",semester kelas ada zoom meeting ganggu proses sampai materi jelas mudah erti,positif
459,Dari saya tidak ada saran karena guru pengampu sudah sangat baik dalam kegiatan belajar mengajar,saran guru ampu giat ajar ajar,positif
460,berharap besar untuk guru untuk tetap mengajar di statistika,harap guru ajar statistika,positif
461,"terimakasih atas ilmunya pak , namun pendapat dari saya yaitu, untuk memberikan kami Pelajaran dengan konsep bukan diskusi dan lebih menjurus ke materi yang dijelaskan langsung dengan bapak, mohon maaf dan terimakasih pak",terimakasih ilmu dapat ajar konsep diskusi jurus materi maaf terimakasih,positif
462,"Untuk lebih memberikan pertemuan secara luring, karena lebih efektif untuk dapat mempelajari materi.",temu luring efektif ajar materi,negatif
463,Belum punya saran karena sudah cukup baik,saran,positif
464,"Pembelajaran agama semester kali ini sudah sangat baik, selain agama ini kami ikuti karena sebagai bagian dari Pelajaran, pembelajaran agama ini juga mampu meningkatkan iman saya terkhususnya Iman Kristen saya",ajar agama semester agama ikut ajar ajar agama tingkat iman khusus iman kristen,positif
465,saran mungkin untuk suara lebih keras dan untuk penjelasan materi mungkin bisa dibuat seperti pola belajar di bimbingan online Ruang Guru,saran suara keras jelas materi pola ajar bimbing online ruang guru,negatif
466,"Mohon maaf pak, terkadang jika melalu zoom jaringan kita yang jelek. bukan kita yang tidak dapat mengoperasikannya",maaf terkadang lalu zoom jaring jelek operasi,negatif
467,Mantap lanjutkan,mantap lanjut,positif
468,Makin lebih baik lagi,,positif
469,Saran : Pelajaran di laksanakan secara offline,saran ajar laksana offline,negatif
470,dikurang in yaa pak jarang masuk nya,kurang iya jarang,negatif
471,"tidak ada saran, tapi saya mau minta maaf saya jarang masuk di Pelajaran ibu",saran maaf jarang ajar,negatif
472,Sudah baik dan untuk kedepannya bisa lebih baik lagi,depan,positif
473,"Kemampuan mengajar secara keseluruhan sangat baik, akan lebih baik jika memprioritaskan Siswa yang kurang dalam memahami materi yang rumit dan sulit",mampu ajar prioritas siswa paham materi rumit sulit,negatif
474,Sebaiknya Kelas OFFLINE dan memakai modul Berbahasa Indonesia,kelas offline pakai modul bahasa indonesia,negatif
475,Mampu memberikan kesimpulan materi secara garis besar ataupun memberikan kuis singkat dalam upaya pemahaman lebih untuk Siswa,simpul materi garis kuis singkat upaya paham siswa,negatif
476,Lebih sabar dalam mengajarkan Siswa,sabar ajar siswa,negatif
477,sebaiknya saat penyampaian materi dilengkapi dengan contoh nyata yang relevan dengan topik pembahasan,sampai materi lengkap contoh relevan topik bahas,negatif
478,Mantab bu,mantap bu,positif
479,Pak mungkin kalo mengajar mic nya agak dibesarin,ajar mic dibesarin,positif
480,menurut saya cara mengajar pak guru baik tapi alangkah baiknya pak guru harus sesekali memberikan cadaan pada saat diskusi,ajar guru alangkah baik guru cadaan diskusi,positif
